date_key,year,quarter,month,month_name,week_of_year,day_of_month,day_name,year_quarter,year_month
2014-05-08 00:00:00,2014,2,5,May,19,8,Thursday,2014-Q2,2014-05
2014-05-09 00:00:00,2014,2,5,May,19,9,Friday,2014-Q2,2014-05
2014-05-10 00:00:00,2014,2,5,May,19,10,Saturday,2014-Q2,2014-05
2014-05-11 00:00:00,2014,2,5,May,19,11,Sunday,2014-Q2,2014-05
2014-05-12 00:00:00,2014,2,5,May,20,12,Monday,2014-Q2,2014-05
2014-05-13 00:00:00,2014,2,5,May,20,13,Tuesday,2014-Q2,2014-05
2014-05-14 00:00:00,2014,2,5,May,20,14,Wednesday,2014-Q2,2014-05
2014-05-16 00:00:00,2014,2,5,May,20,16,Friday,2014-Q2,2014-05
2014-05-17 00:00:00,2014,2,5,May,20,17,Saturday,2014-Q2,2014-05
2014-05-18 00:00:00,2014,2,5,May,20,18,Sunday,2014-Q2,2014-05
2014-05-19 00:00:00,2014,2,5,May,21,19,Monday,2014-Q2,2014-05
2014-05-20 00:00:00,2014,2,5,May,21,20,Tuesday,2014-Q2,2014-05
2014-05-21 00:00:00,2014,2,5,May,21,21,Wednesday,2014-Q2,2014-05
2014-05-22 00:00:00,2014,2,5,May,21,22,Thursday,2014-Q2,2014-05
2014-05-23 00:00:00,2014,2,5,May,21,23,Friday,2014-Q2,2014-05
2014-05-24 00:00:00,2014,2,5,May,21,24,Saturday,2014-Q2,2014-05
2014-05-25 00:00:00,2014,2,5,May,21,25,Sunday,2014-Q2,2014-05
2014-05-26 00:00:00,2014,2,5,May,22,26,Monday,2014-Q2,2014-05
2014-05-27 00:00:00,2014,2,5,May,22,27,Tuesday,2014-Q2,2014-05
2014-05-28 00:00:00,2014,2,5,May,22,28,Wednesday,2014-Q2,2014-05
2014-05-30 00:00:00,2014,2,5,May,22,30,Friday,2014-Q2,2014-05
2014-05-31 00:00:00,2014,2,5,May,22,31,Saturday,2014-Q2,2014-05
2014-06-01 00:00:00,2014,2,6,June,22,1,Sunday,2014-Q2,2014-06
2014-06-02 00:00:00,2014,2,6,June,23,2,Monday,2014-Q2,2014-06
2014-06-03 00:00:00,2014,2,6,June,23,3,Tuesday,2014-Q2,2014-06
2014-06-04 00:00:00,2014,2,6,June,23,4,Wednesday,2014-Q2,2014-06
2014-06-06 00:00:00,2014,2,6,June,23,6,Friday,2014-Q2,2014-06
2014-06-07 00:00:00,2014,2,6,June,23,7,Saturday,2014-Q2,2014-06
2014-06-08 00:00:00,2014,2,6,June,23,8,Sunday,2014-Q2,2014-06
2014-06-09 00:00:00,2014,2,6,June,24,9,Monday,2014-Q2,2014-06
2014-06-10 00:00:00,2014,2,6,June,24,10,Tuesday,2014-Q2,2014-06
2014-06-13 00:00:00,2014,2,6,June,24,13,Friday,2014-Q2,2014-06
2014-06-14 00:00:00,2014,2,6,June,24,14,Saturday,2014-Q2,2014-06
2014-06-15 00:00:00,2014,2,6,June,24,15,Sunday,2014-Q2,2014-06
2014-06-16 00:00:00,2014,2,6,June,25,16,Monday,2014-Q2,2014-06
2014-06-17 00:00:00,2014,2,6,June,25,17,Tuesday,2014-Q2,2014-06
2014-06-18 00:00:00,2014,2,6,June,25,18,Wednesday,2014-Q2,2014-06
2014-06-20 00:00:00,2014,2,6,June,25,20,Friday,2014-Q2,2014-06
2014-06-21 00:00:00,2014,2,6,June,25,21,Saturday,2014-Q2,2014-06
2014-06-22 00:00:00,2014,2,6,June,25,22,Sunday,2014-Q2,2014-06
2014-06-23 00:00:00,2014,2,6,June,26,23,Monday,2014-Q2,2014-06
2014-06-24 00:00:00,2014,2,6,June,26,24,Tuesday,2014-Q2,2014-06
2014-06-25 00:00:00,2014,2,6,June,26,25,Wednesday,2014-Q2,2014-06
2014-06-27 00:00:00,2014,2,6,June,26,27,Friday,2014-Q2,2014-06
2014-06-28 00:00:00,2014,2,6,June,26,28,Saturday,2014-Q2,2014-06
2014-06-29 00:00:00,2014,2,6,June,26,29,Sunday,2014-Q2,2014-06
2014-06-30 00:00:00,2014,2,6,June,27,30,Monday,2014-Q2,2014-06
2014-07-01 00:00:00,2014,3,7,July,27,1,Tuesday,2014-Q3,2014-07
2014-07-02 00:00:00,2014,3,7,July,27,2,Wednesday,2014-Q3,2014-07
2014-07-04 00:00:00,2014,3,7,July,27,4,Friday,2014-Q3,2014-07
2014-07-05 00:00:00,2014,3,7,July,27,5,Saturday,2014-Q3,2014-07
2014-07-06 00:00:00,2014,3,7,July,27,6,Sunday,2014-Q3,2014-07
2014-07-07 00:00:00,2014,3,7,July,28,7,Monday,2014-Q3,2014-07
2014-07-08 00:00:00,2014,3,7,July,28,8,Tuesday,2014-Q3,2014-07
2014-07-09 00:00:00,2014,3,7,July,28,9,Wednesday,2014-Q3,2014-07
2014-07-11 00:00:00,2014,3,7,July,28,11,Friday,2014-Q3,2014-07
2014-07-12 00:00:00,2014,3,7,July,28,12,Saturday,2014-Q3,2014-07
2014-07-13 00:00:00,2014,3,7,July,28,13,Sunday,2014-Q3,2014-07
2014-07-14 00:00:00,2014,3,7,July,29,14,Monday,2014-Q3,2014-07
2014-07-15 00:00:00,2014,3,7,July,29,15,Tuesday,2014-Q3,2014-07
2014-07-18 00:00:00,2014,3,7,July,29,18,Friday,2014-Q3,2014-07
2014-07-19 00:00:00,2014,3,7,July,29,19,Saturday,2014-Q3,2014-07
2014-07-20 00:00:00,2014,3,7,July,29,20,Sunday,2014-Q3,2014-07
2014-07-21 00:00:00,2014,3,7,July,30,21,Monday,2014-Q3,2014-07
2014-07-22 00:00:00,2014,3,7,July,30,22,Tuesday,2014-Q3,2014-07
2014-07-23 00:00:00,2014,3,7,July,30,23,Wednesday,2014-Q3,2014-07
2014-07-25 00:00:00,2014,3,7,July,30,25,Friday,2014-Q3,2014-07
2014-07-26 00:00:00,2014,3,7,July,30,26,Saturday,2014-Q3,2014-07
2014-07-27 00:00:00,2014,3,7,July,30,27,Sunday,2014-Q3,2014-07
2014-07-28 00:00:00,2014,3,7,July,31,28,Monday,2014-Q3,2014-07
2014-07-30 00:00:00,2014,3,7,July,31,30,Wednesday,2014-Q3,2014-07
2014-08-01 00:00:00,2014,3,8,August,31,1,Friday,2014-Q3,2014-08
2014-08-02 00:00:00,2014,3,8,August,31,2,Saturday,2014-Q3,2014-08
2014-08-03 00:00:00,2014,3,8,August,31,3,Sunday,2014-Q3,2014-08
2014-08-04 00:00:00,2014,3,8,August,32,4,Monday,2014-Q3,2014-08
2014-08-05 00:00:00,2014,3,8,August,32,5,Tuesday,2014-Q3,2014-08
2014-08-06 00:00:00,2014,3,8,August,32,6,Wednesday,2014-Q3,2014-08
2014-08-08 00:00:00,2014,3,8,August,32,8,Friday,2014-Q3,2014-08
2014-08-09 00:00:00,2014,3,8,August,32,9,Saturday,2014-Q3,2014-08
2014-08-11 00:00:00,2014,3,8,August,33,11,Monday,2014-Q3,2014-08
2014-08-12 00:00:00,2014,3,8,August,33,12,Tuesday,2014-Q3,2014-08
2014-08-15 00:00:00,2014,3,8,August,33,15,Friday,2014-Q3,2014-08
2014-08-16 00:00:00,2014,3,8,August,33,16,Saturday,2014-Q3,2014-08
2014-08-17 00:00:00,2014,3,8,August,33,17,Sunday,2014-Q3,2014-08
2014-08-19 00:00:00,2014,3,8,August,34,19,Tuesday,2014-Q3,2014-08
2014-08-20 00:00:00,2014,3,8,August,34,20,Wednesday,2014-Q3,2014-08
2014-08-22 00:00:00,2014,3,8,August,34,22,Friday,2014-Q3,2014-08
2014-08-23 00:00:00,2014,3,8,August,34,23,Saturday,2014-Q3,2014-08
2014-08-24 00:00:00,2014,3,8,August,34,24,Sunday,2014-Q3,2014-08
2014-08-25 00:00:00,2014,3,8,August,35,25,Monday,2014-Q3,2014-08
2014-08-26 00:00:00,2014,3,8,August,35,26,Tuesday,2014-Q3,2014-08
2014-08-27 00:00:00,2014,3,8,August,35,27,Wednesday,2014-Q3,2014-08
2014-08-29 00:00:00,2014,3,8,August,35,29,Friday,2014-Q3,2014-08
